Columna 1,Columna 2,Columna 3,Columna 4,Columna 5,Columna 6,Columna 7,Columna 8,Columna 9,Columna 10,Columna 11,Columna 12,Columna 13,Columna 14,Columna 15,Columna 16,Columna 17,Columna 18,Columna 19,Columna 20,Columna 21,Columna 22,Columna 23,Columna 24,Columna 25,Columna 26,Columna 27,Columna 28,Columna 29,Columna 30,Columna 31,Columna 32,Columna 33,Columna 34,Columna 35,Columna 36,Columna 37,Columna 38,Columna 39,Columna 40,Columna 41,Columna 42,Columna 43,Columna 44,Columna 45,Columna 46,Columna 47,Columna 48,Columna 49,Columna 50,Columna 51,Columna 52,Columna 53,Columna 54,Columna 55,Columna 56,Columna 57,Columna 58,Columna 59,Columna 60,Columna 61,Columna 62,Columna 63,Columna 64,Columna 65,Columna 66,Columna 67,Columna 68,Columna 69,Columna 70,Columna 71,Columna 72,Columna 73,Columna 74,Columna 75,Columna 76,Columna 77,Columna 78,Columna 79,Columna 80,Columna 81,Columna 82,Columna 83,Columna 84,Columna 85,Columna 86,Columna 87,Columna 88,Columna 89,Columna 90,Columna 91,Columna 92,Columna 93,Columna 94,Columna 95,Columna 96,Columna 97,Columna 98
28,273,14,18,22,10,10,17,14,36,11,12,9,9,24,927,0,18,17,9,9,9,9,0,0,0,14,17,9,12,11,0,411,1465,19,19,0,13,16,10,14,16,13,1565,9,9,14,19,8,8,17,14,14,15,0,22,-1,0,10,0,18,0,22,14,14,18,1631,0,0,0,0,0,14,13,8,8,79,14,19,13,15,19,22,15,0,0,19,19,13,13,0,0,19,19,19,13,13,13
28,273,14,18,22,10,10,17,14,36,11,12,9,9,24,927,0,18,17,9,9,9,9,0,0,0,14,17,9,12,11,0,411,1465,19,19,0,13,16,10,14,16,13,1565,9,9,14,19,8,8,17,14,14,15,0,22,-1,0,10,0,18,0,22,14,14,18,1631,0,0,0,0,0,14,13,8,8,79,14,19,13,15,19,22,15,0,0,19,19,13,13,0,0,19,19,19,13,13,13
28,273,14,18,22,10,10,17,14,36,11,12,9,9,24,927,0,18,17,9,9,9,9,0,0,0,14,17,9,12,11,0,411,1465,19,19,0,13,16,10,14,16,13,1565,9,9,14,19,8,8,17,14,14,15,0,22,-1,0,10,0,18,0,22,14,14,18,1631,0,0,0,0,0,14,13,8,8,79,14,19,13,15,19,22,15,0,0,19,19,13,13,0,0,19,19,19,13,13,13
40,280,22,17,17,22,22,25,21,29,20,20,21,21,20,934,12,12,29,15,15,15,15,12,12,12,0,24,15,18,17,12,418,1471,25,25,12,18,19,11,16,19,8,1572,16,16,16,17,10,10,22,16,16,9,12,15,-1,12,22,12,30,12,30,26,26,26,1638,12,12,12,12,12,26,25,18,18,86,26,31,25,27,26,29,2,12,12,25,25,1,1,12,12,26,26,26,19,19,19
44,281,30,34,35,27,27,33,31,45,28,28,26,25,38,935,17,23,34,21,21,21,21,17,17,17,27,0,21,23,22,17,420,1473,25,25,17,31,24,23,30,24,26,1574,25,25,30,27,21,21,35,30,30,27,17,29,-1,17,26,17,35,17,32,31,31,28,1639,17,17,17,17,17,31,30,23,23,88,31,34,30,32,15,9,27,17,17,15,15,26,26,17,17,15,15,15,18,18,18
35,277,21,26,25,17,17,24,21,38,18,19,16,16,29,931,7,22,24,0,0,0,0,7,7,7,16,21,0,3,2,7,415,1468,23,23,7,22,19,13,20,19,16,1569,16,16,20,25,11,11,25,20,20,18,7,24,-1,7,17,7,25,7,25,21,21,21,1635,7,7,7,7,7,21,20,10,10,83,21,25,20,22,13,26,18,7,7,16,16,16,15,7,7,17,17,17,4,4,4
36,278,22,28,27,19,19,25,23,40,20,20,18,17,30,932,9,24,26,4,4,4,4,9,9,9,18,22,4,0,5,9,417,1470,24,24,9,23,21,15,22,21,18,1570,17,17,22,26,12,12,27,22,22,20,9,26,-1,9,18,9,26,9,27,22,22,23,1636,9,9,9,9,9,22,22,12,12,85,23,27,22,24,16,27,19,9,9,19,19,17,17,9,9,20,20,20,7,7,7
36,278,22,28,27,19,19,25,23,40,20,20,18,17,30,932,9,23,26,4,4,4,4,9,9,9,18,22,4,5,0,9,416,1470,24,24,9,23,21,14,22,21,17,1570,17,17,22,26,12,12,27,22,22,20,9,26,-1,9,18,9,26,9,27,22,22,23,1636,9,9,9,9,9,22,22,12,12,84,23,27,22,24,15,27,19,9,9,18,18,17,17,9,9,18,18,18,6,6,6
28,273,14,18,22,10,10,17,14,36,11,12,9,9,24,927,0,18,17,9,9,9,9,0,0,0,14,17,9,12,11,0,411,1465,19,19,0,13,16,10,14,16,13,1565,9,9,14,19,8,8,17,14,14,15,0,22,-1,0,10,0,18,0,22,14,14,18,1631,0,0,0,0,0,14,13,8,8,79,14,19,13,15,19,22,15,0,0,19,19,13,13,0,0,19,19,19,13,13,13
411,578,426,421,425,421,421,426,425,432,422,423,420,420,427,554,411,425,421,415,415,415,415,411,411,411,421,424,415,418,417,411,0,1092,422,422,411,426,419,418,424,419,421,1192,420,420,424,424,416,416,430,424,424,423,411,422,-1,411,421,411,414,411,411,419,419,407,1258,411,411,411,411,411,419,424,417,417,359,420,414,422,420,426,429,423,411,411,425,425,421,421,411,411,426,426,426,419,419,419
1487,1228,1502,1496,1501,1474,1474,1501,1500,1508,1475,1476,1473,1473,1503,540,1464,1478,1474,1468,1468,1468,1468,1464,1464,1464,1474,1477,1468,1471,1470,1464,1086,0,1476,1476,1464,1479,1472,1471,1478,1472,1474,234,1473,1473,1477,1499,1469,1469,1483,1478,1478,1477,1464,1497,-1,1464,1474,1464,1467,1464,1464,1472,1472,1460,230,1464,1464,1464,1464,1464,1472,1477,1470,1470,1435,1473,1466,1475,1472,1479,1482,1476,1464,1464,1479,1479,1474,1474,1464,1464,1479,1479,1479,1473,1473,1473
